record_id,date,time,day_of_week,day_name,weekend,holiday,location,latitude,longitude,vehicle_count,avg_speed_kmph,road_capacity,weather,temperature_c,rainfall_mm,peak_hour,accident,road_work,traffic_density,congestion_level
1,2026-01-01,00:00,3,Thursday,0,0,Kukatpally,17.4849,78.4138,32,46.503747524252596,350,Clear,21.1,0.0,0,0,0,0.091,Low
2,2026-01-01,00:00,3,Thursday,0,0,Miyapur,17.4969,78.357,69,36.50177265349891,347,Rain,19.8,9.1,0,0,0,0.199,Low
3,2026-01-01,00:00,3,Thursday,0,0,Hitech City,17.4435,78.3772,19,54.71899373287386,280,Clear,23.4,0.0,0,0,0,0.068,Low
4,2026-01-01,00:00,3,Thursday,0,0,Madhapur,17.4483,78.3915,54,43.23665716770016,264,Clear,20.7,0.0,0,0,0,0.205,Low
5,2026-01-01,00:00,3,Thursday,0,0,Gachibowli,17.4401,78.3489,61,45.74073681332002,311,Cloudy,21.0,0.4,0,0,0,0.196,Low
6,2026-01-01,00:00,3,Thursday,0,0,Kondapur,17.4587,78.368,65,44.85676173212944,332,Clear,20.0,0.0,0,0,0,0.196,Low
7,2026-01-01,00:00,3,Thursday,0,0,Ameerpet,17.4375,78.4483,78,45.3052032718563,300,Clear,17.1,0.0,0,0,0,0.26,Low
8,2026-01-01,00:00,3,Thursday,0,0,Punjagutta,17.4254,78.449,74,43.486935742653486,286,Clear,20.0,0.0,0,0,0,0.259,Low
9,2026-01-01,00:00,3,Thursday,0,0,Begumpet,17.4447,78.4627,53,48.26910420075217,362,Cloudy,21.2,0.0,0,0,0,0.146,Low
10,2026-01-01,00:00,3,Thursday,0,0,Secunderabad,17.4399,78.4983,54,47.17406649019395,359,Rain,20.5,7.2,0,0,0,0.15,Low
11,2026-01-01,00:00,3,Thursday,0,0,LB Nagar,17.3457,78.5522,48,49.490036208617504,373,Cloudy,22.3,0.5,0,0,0,0.129,Low
12,2026-01-01,00:00,3,Thursday,0,0,Uppal,17.4058,78.5591,91,43.05876683085763,357,Clear,22.8,0.0,0,0,0,0.255,Low
13,2026-01-01,00:00,3,Thursday,0,0,Mehdipatnam,17.396,78.435,64,41.51243931597945,321,Clear,19.8,0.0,0,0,0,0.199,Low
14,2026-01-01,00:00,3,Thursday,0,0,Banjara Hills,17.4156,78.4346,72,44.24968805249655,310,Cloudy,21.4,0.3,0,0,0,0.232,Low
15,2026-01-01,00:00,3,Thursday,0,0,Jubilee Hills,17.4325,78.4071,18,51.98376977418993,347,Clear,22.0,0.0,0,0,0,0.052,Low
16,2026-01-01,00:00,3,Thursday,0,0,Dilsukhnagar,17.3688,78.5247,78,44.46607463362454,303,Cloudy,20.6,0.5,0,0,0,0.257,Low
17,2026-01-01,00:00,3,Thursday,0,0,Charminar,17.3616,78.4747,73,42.3574374666148,312,Clear,20.1,0.0,0,0,0,0.234,Low
18,2026-01-01,00:00,3,Thursday,0,0,Koti,17.384,78.4867,69,37.98059736446855,297,Rain,18.9,11.6,0,0,0,0.232,Low
19,2026-01-01,00:00,3,Thursday,0,0,Paradise,17.443,78.4872,94,47.61207622692057,300,Clear,20.2,0.0,0,0,0,0.313,Low
20,2026-01-01,00:00,3,Thursday,0,0,Necklace Road,17.4239,78.4738,82,30.355146502851976,350,Cloudy,23.5,0.0,0,1,0,0.234,Low
21,2026-01-01,01:00,3,Thursday,0,0,Kukatpally,17.4849,78.4138,43,45.42094608497835,310,Cloudy,22.5,0.3,0,0,0,0.139,Low
22,2026-01-01,01:00,3,Thursday,0,0,Miyapur,17.4969,78.357,45,47.490602368933274,369,Cloudy,22.8,0.4,0,0,0,0.122,Low
23,2026-01-01,01:00,3,Thursday,0,0,Hitech City,17.4435,78.3772,69,41.06946524621756,318,Clear,22.0,0.0,0,0,0,0.217,Low
24,2026-01-01,01:00,3,Thursday,0,0,Madhapur,17.4483,78.3915,39,44.361498938724196,285,Clear,19.6,0.0,0,0,0,0.137,Low
25,2026-01-01,01:00,3,Thursday,0,0,Gachibowli,17.4401,78.3489,78,39.34023052959475,319,Cloudy,21.5,0.0,0,0,0,0.245,Low
26,2026-01-01,01:00,3,Thursday,0,0,Kondapur,17.4587,78.368,76,46.90402693812807,339,Cloudy,21.6,0.0,0,0,0,0.224,Low
27,2026-01-01,01:00,3,Thursday,0,0,Ameerpet,17.4375,78.4483,47,47.21874025126085,264,Cloudy,21.7,0.2,0,0,0,0.178,Low
28,2026-01-01,01:00,3,Thursday,0,0,Punjagutta,17.4254,78.449,53,52.230594387573085,344,Clear,20.8,0.0,0,0,0,0.154,Low
29,2026-01-01,01:00,3,Thursday,0,0,Begumpet,17.4447,78.4627,52,46.42848024833586,341,Cloudy,22.9,0.4,0,0,0,0.152,Low
30,2026-01-01,01:00,3,Thursday,0,0,Secunderabad,17.4399,78.4983,55,49.23431468525767,358,Clear,19.1,0.0,0,0,0,0.154,Low
31,2026-01-01,01:00,3,Thursday,0,0,LB Nagar,17.3457,78.5522,80,44.3619495706691,381,Clear,24.1,0.0,0,0,0,0.21,Low
32,2026-01-01,01:00,3,Thursday,0,0,Uppal,17.4058,78.5591,69,44.05444817472947,332,Clear,18.6,0.0,0,0,0,0.208,Low
33,2026-01-01,01:00,3,Thursday,0,0,Mehdipatnam,17.396,78.435,65,46.5495152790474,327,Cloudy,22.1,0.3,0,0,0,0.199,Low
34,2026-01-01,01:00,3,Thursday,0,0,Banjara Hills,17.4156,78.4346,63,41.74258768362916,330,Clear,21.3,0.0,0,0,0,0.191,Low
35,2026-01-01,01:00,3,Thursday,0,0,Jubilee Hills,17.4325,78.4071,48,47.99016541312409,376,Clear,21.4,0.0,0,0,0,0.128,Low
36,2026-01-01,01:00,3,Thursday,0,0,Dilsukhnagar,17.3688,78.5247,93,38.812155289837264,343,Clear,21.7,0.0,0,1,0,0.271,Low
37,2026-01-01,01:00,3,Thursday,0,0,Charminar,17.3616,78.4747,68,38.62279813945584,302,Rain,19.8,3.2,0,0,0,0.225,Low
38,2026-01-01,01:00,3,Thursday,0,0,Koti,17.384,78.4867,58,52.5753804077928,315,Clear,23.4,0.0,0,0,0,0.184,Low
39,2026-01-01,01:00,3,Thursday,0,0,Paradise,17.443,78.4872,102,41.56536540801654,331,Cloudy,22.2,0.3,0,0,0,0.308,Low
40,2026-01-01,01:00,3,Thursday,0,0,Necklace Road,17.4239,78.4738,30,40.045365216896755,395,Rain,18.0,9.7,0,0,0,0.076,Low
41,2026-01-01,02:00,3,Thursday,0,0,Kukatpally,17.4849,78.4138,64,42.38874990633155,329,Cloudy,23.0,0.1,0,0,0,0.195,Low
42,2026-01-01,02:00,3,Thursday,0,0,Miyapur,17.4969,78.357,49,49.424153869783446,435,Clear,21.3,0.0,0,0,0,0.113,Low
43,2026-01-01,02:00,3,Thursday,0,0,Hitech City,17.4435,78.3772,43,46.35576330497187,312,Clear,22.5,0.0,0,0,0,0.138,Low
44,2026-01-01,02:00,3,Thursday,0,0,Madhapur,17.4483,78.3915,63,42.2867187252548,282,Clear,21.1,0.0,0,0,0,0.223,Low
45,2026-01-01,02:00,3,Thursday,0,0,Gachibowli,17.4401,78.3489,61,40.88537142683389,383,Rain,19.4,17.0,0,0,0,0.159,Low
46,2026-01-01,02:00,3,Thursday,0,0,Kondapur,17.4587,78.368,73,44.48650662120887,343,Clear,22.7,0.0,0,0,0,0.213,Low
47,2026-01-01,02:00,3,Thursday,0,0,Ameerpet,17.4375,78.4483,73,45.79534738700002,317,Clear,20.6,0.0,0,0,0,0.23,Low
48,2026-01-01,02:00,3,Thursday,0,0,Punjagutta,17.4254,78.449,78,49.16511790898682,303,Cloudy,21.4,0.5,0,0,0,0.257,Low
49,2026-01-01,02:00,3,Thursday,0,0,Begumpet,17.4447,78.4627,20,43.78430128291628,319,Rain,19.7,4.0,0,0,0,0.063,Low
50,2026-01-01,02:00,3,Thursday,0,0,Secunderabad,17.4399,78.4983,72,43.78543970615094,358,Clear,21.0,0.0,0,0,0,0.201,Low
51,2026-01-01,02:00,3,Thursday,0,0,LB Nagar,17.3457,78.5522,62,44.84114363896147,336,Clear,20.9,0.0,0,0,0,0.185,Low
52,2026-01-01,02:00,3,Thursday,0,0,Uppal,17.4058,78.5591,57,45.1717450802782,362,Clear,23.3,0.0,0,0,0,0.157,Low
53,2026-01-01,02:00,3,Thursday,0,0,Mehdipatnam,17.396,78.435,20,46.068642763910745,314,Cloudy,22.5,0.4,0,0,0,0.064,Low
54,2026-01-01,02:00,3,Thursday,0,0,Banjara Hills,17.4156,78.4346,58,45.42595011428007,331,Cloudy,23.1,0.3,0,0,0,0.175,Low
55,2026-01-01,02:00,3,Thursday,0,0,Jubilee Hills,17.4325,78.4071,42,52.304577382528144,340,Clear,20.4,0.0,0,0,0,0.124,Low
56,2026-01-01,02:00,3,Thursday,0,0,Dilsukhnagar,17.3688,78.5247,93,42.17647843787716,306,Cloudy,22.8,0.2,0,0,0,0.304,Low
57,2026-01-01,02:00,3,Thursday,0,0,Charminar,17.3616,78.4747,48,48.33761494127714,319,Clear,23.0,0.0,0,0,0,0.15,Low
58,2026-01-01,02:00,3,Thursday,0,0,Koti,17.384,78.4867,19,51.37950609081747,306,Clear,20.9,0.0,0,0,0,0.062,Low
59,2026-01-01,02:00,3,Thursday,0,0,Paradise,17.443,78.4872,36,41.90959246513852,261,Cloudy,21.7,0.3,0,0,0,0.138,Low
60,2026-01-01,02:00,3,Thursday,0,0,Necklace Road,17.4239,78.4738,37,49.4430081870605,398,Clear,22.1,0.0,0,0,0,0.093,Low
61,2026-01-01,03:00,3,Thursday,0,0,Kukatpally,17.4849,78.4138,77,43.12217513774979,331,Clear,22.5,0.0,0,0,0,0.233,Low
62,2026-01-01,03:00,3,Thursday,0,0,Miyapur,17.4969,78.357,27,56.366768654414514,372,Clear,23.2,0.0,0,0,0,0.073,Low
63,2026-01-01,03:00,3,Thursday,0,0,Hitech City,17.4435,78.3772,29,50.175085578860156,317,Clear,23.3,0.0,0,0,0,0.091,Low
64,2026-01-01,03:00,3,Thursday,0,0,Madhapur,17.4483,78.3915,121,32.00353783518371,255,Rain,21.2,13.5,0,0,0,0.475,Medium
65,2026-01-01,03:00,3,Thursday,0,0,Gachibowli,17.4401,78.3489,66,43.182422979858494,260,Cloudy,21.9,0.0,0,0,0,0.254,Low
